station_id,station_name,time,date,year,month,day,hour,parameter,value,gross_range_test_qc,spike_test_qc,rate_of_change_test_qc,flat_line_test_qc,aggregate_qc,source_hydrovu_id,source_hydrovu_name,source_hydrovu_description
CCBay,4648354079375360,2026-01-02 16:15:00,2026-01-02,2026,1,2,16,Actual Conductivity (µS/cm),44807.92578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 16:30:00,2026-01-02,2026,1,2,16,Actual Conductivity (µS/cm),44799.71484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 16:45:00,2026-01-02,2026,1,2,16,Actual Conductivity (µS/cm),44882.83203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 17:00:00,2026-01-02,2026,1,2,17,Actual Conductivity (µS/cm),44884.98046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 17:15:00,2026-01-02,2026,1,2,17,Actual Conductivity (µS/cm),44917.33984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 17:30:00,2026-01-02,2026,1,2,17,Actual Conductivity (µS/cm),44966.3203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 17:45:00,2026-01-02,2026,1,2,17,Actual Conductivity (µS/cm),44969.17578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 18:00:00,2026-01-02,2026,1,2,18,Actual Conductivity (µS/cm),44986.9296875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 18:15:00,2026-01-02,2026,1,2,18,Actual Conductivity (µS/cm),45010.61328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 18:30:00,2026-01-02,2026,1,2,18,Actual Conductivity (µS/cm),45031.2421875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 18:45:00,2026-01-02,2026,1,2,18,Actual Conductivity (µS/cm),45110.453125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 19:00:00,2026-01-02,2026,1,2,19,Actual Conductivity (µS/cm),45111.0390625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 19:15:00,2026-01-02,2026,1,2,19,Actual Conductivity (µS/cm),45136.0234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 19:30:00,2026-01-02,2026,1,2,19,Actual Conductivity (µS/cm),45192.18359375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 19:45:00,2026-01-02,2026,1,2,19,Actual Conductivity (µS/cm),45249.19921875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 20:00:00,2026-01-02,2026,1,2,20,Actual Conductivity (µS/cm),45185.10546875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 20:15:00,2026-01-02,2026,1,2,20,Actual Conductivity (µS/cm),45148.70703125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 20:30:00,2026-01-02,2026,1,2,20,Actual Conductivity (µS/cm),45151.60546875,1,1,1,1,1,,,
